CICompoundList,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SMILES,CAS
"N,N'-BIS(3-AMINOPROPYL)ETHYLENEDIAMINE",10563-26-5,,174.292,C8H22N4,NCCCNCCNCCCN,NCCCNCCNCCCN,10563-26-5
"N,1-diphenylmethanimine",1750-36-3,,181.238,C13H11N,C(=Nc1ccccc1)c1ccccc1 |w:0.8|,C(=Nc1ccccc1)c1ccccc1,538-51-2
N'-(1-methylethylidene)formic hydrazide,3880-50-0,,100.121,C4H8N2O,[#6]\[#6](-[#6])=[#7]/[#7]-[#6]=O,CC(C)=NNC=O,3880-50-0
Mycophenolic acid,24280-93-1,,320.341,C17H20O6,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)CCC(O)=O,,24280-93-1
Morpholino benzoate,5765-65-1,,207.229,C11H13NO3,O=C(ON1CCOCC1)c1ccccc1,O=C(ON1CCOCC1)c1ccccc1,5765-65-1
Morpholin-4-ylacetic acid hydrochloride,89531-58-8,,181.62,C6H12ClNO3,Cl.OC(=O)CN1CCOCC1,Cl.O=C(O)CN1CCOCC1,89531-58-8
MORPHOLIN-4-YL-ACETIC ACID,3235-69-6,,145.158,C6H11NO3,OC(=O)CN1CCOCC1,O=C(O)CN1CCOCC1,3235-69-6
MONTMORILLONITE KSF,1318-93-0,,0,,,,1318-93-0
mono-Bromoborane methyl sulfide complex solution,55652-65-3,,154.86,C2H8BBrS,[H][B]([H])(Br)[S]([#6])[#6],,
MOLYBDENUM(VI) DICHLORIDE DIOXIDE,13637-68-8,,198.85,Cl2MoO2,[Cl-].[Cl-].O=[Mo]=O,[O]=[Mo](=[O])([Cl])[Cl],13637-68-8
MOLYBDENUM(V) CHLORIDE,10241-05-1,,273.2,Cl5Mo,Cl[Mo](Cl)(Cl)(Cl)Cl,[Cl][Mo]([Cl])([Cl])([Cl])[Cl],10241-05-1
Molybdenum hexacarbonyl,13939-06-05,,0,,,,13939-06-5
Molybdenum hexacarbonyl,13939-06-5,,264.01,C6MoO6,[Mo].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+],,13939-06-5
MOLECULAR SIEVE,69912-79-4,,202.135,AlNaO6Si2,[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,,69912-79-4
Mn(III) meso-Tetraphenylporphine chloride (1-3% chlorin),32195-55-4,,703.12,C44H28ClMnN4,[Cl-].[Mn;v0+3].c1cc2nc1c(-c1ccccc1)c1ccc([n-]1)c(-c1ccccc1)c1ccc(n1)c(-c1ccccc1)c1ccc([n-]1)c2-c1ccccc1,,
Mineral oil,8042-47-5,,0,,,,
Metolazone,17560-51-9,,365.83,C16H16ClN3O3S,CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O,,17560-51-9
Methyltriphenylphosphonium iodide,2065-66-9,,404.231,C19H18IP,[I-].C[P+](c1ccccc1)(c1ccccc1)c1ccccc1,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[I-],2065-66-9
"Methyltriphenylphosphonium bromide, 98%",1779-49-3,,357.231,C19H18BrP,[Br-].C[P+](c1ccccc1)(c1ccccc1)c1ccccc1,,
"Methyltrioxorhenium(VII), 98%",70197-13-6,,0,,,,
Methylthioethane,624-89-5,,76.16,C3H8S,CCSC,CCSC,624-89-5
METHYLSULFONYLACETONE,5000-46-4,,136.17,C4H8O3S,CC(=O)CS(C)(=O)=O,CC(=O)CS(C)(=O)=O,5000-46-4
Methylphenylsilane,766-08-5,,122.242,C7H10Si,C[SiH2]c1ccccc1,C[SiH2]c1ccccc1,766-08-5
Methylmethacrylate,80-62-6,,100.117,C5H8O2,CCC(=C)C(O)=O,C=C(C)C(=O)OC,80-62-6
Methylmagnesium chloride,676-58-4,,74.79,CH3ClMg,C[Mg]Cl,[CH3][Mg][Cl],676-58-4
METHYLMAGNESIUM BROMIDE,75-16-1,,119.244,CH3BrMg,C[Mg]Br,[CH3][Mg][Br],75-16-1
METHYLLITHIUM,917-54-4,,21.98,CH3Li,[Li]C,[Li][CH3],917-54-4
methylisonicotinate,08-09-2459,,0,,,COC(=O)c1ccncc1,2459-09-8
Methylhydrazine,60-34-4,,46.073,CH6N2,CNN,CNN,60-34-4
Methylglyoxal,78-98-8,,72.063,C3H4O2,CC(=O)C=O,CC(=O)C=O,78-98-8
"METHYLENECYCLOPENTANE, 97%",1528-30-9,,82.146,C6H10,C=C1CCCC1,,
Methylene-bis(4-cyclohexylisocyanate),5124-30-1,,262.353,C15H22N2O2,O=C=NC1CCC(CC2CCC(CC2)N=C=O)CC1,,5124-30-1
methylene cyclohexane,1992-37-6,,0,,,C=C1CCCCC1,1192-37-6
"Methylene Blue, high purity, biological stain",122965-43-9,,355.88,C16H22ClN3O2S,O.O.[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,,7220-79-3
"Methylene Blue trihydrate, 95%, pure",7220-79-3,,373.9,C16H24ClN3O3S,O.O.O.[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,,
METHYLDIPHENYLPHOSPHINE,1486-28-8,,200.221,C13H13P,CP(c1ccccc1)c1ccccc1,CP(c1ccccc1)c1ccccc1,1486-28-8
Methylcyclohexane,1192-37-6,,96.173,C7H12,C=C1CCCCC1,CC1CCCCC1,108-87-2
methylboronic acid,13061-96-6,,59.86,CH5BO2,CB(O)O,CB(O)O,13061-96-6
Methylamine hydrochloride,593-51-1,,67.52,CH6ClN,Cl.CN,CN.Cl,593-51-1
METHYLAMINE,74-89-5,,31.058,CH5N,CN,CN,74-89-5
METHYL-TRIPHENOXY-PHOSPHONIUM IODIDE,17579-99-6,,452.228,C19H18IO3P,[I-].C[P+](Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,C[P+](Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1.[I-],17579-99-6
methyl-D3-mangesium iodide solution 1M in Et2O,41251-37-0,,0,,,,
METHYL-BETA-D-XYLOPYRANOSIDE,612-05-5,,164.157,C6H12O5,CO[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O |r|,,612-05-5
METHYL-BETA-D-GALACTOPYRANOSIDE,1824-94-8,,194.183,C7H14O6,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O |r|,,1824-94-8
METHYL-ALPHA-D-MANNOPYRANOSIDE,617-04-9,,194.183,C7H14O6,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O |r|,,617-04-9
methyl-3-methoxypropionate,03-09-3852,,0,,,COCCC(=O)OC,3852-09-3
Methyl-2-phenyl-4-quinolinecarboxylic acid,,,263.296,C17H13NO2,COC(=O)c1cc(nc2ccccc12)-c1ccccc1,Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)O,43071-45-0
METHYL-2-HEXYNOATE,18937-79-6,,126.155,C7H10O2,CCCC#CC(=O)OC,CCCC#CC(=O)OC,18937-79-6
methyl(2-methylprop-2-en-1-yl)amine hydrochloride,118814-96-3,,121.61,C5H12ClN,Cl.CNCC(C)=C,C=C(C)CNC.Cl,118814-96-3
Methyl viologen hydrate,75365-73-0,,275.17,C12H16Cl2N2O,O.[Cl-].[Cl-].C[n+]1ccc(cc1)-c1cc[n+](C)cc1,,
Methyl vinyl ketone,78-94-4,,70.091,C4H6O,CC(=O)C=C,C=CC(C)=O,78-94-4
METHYL TRIFLUOROPYRUVATE,13089-11-7,,156.06,C4H3F3O3,COC(=O)C(=O)C(F)(F)F,COC(=O)C(=O)C(F)(F)F,13089-11-7
methyl trifluoromethanesulfonate,333-27-7,,164.1,C2H3F3O3S,COS(=O)(=O)C(F)(F)F,COS(=O)(=O)C(F)(F)F,333-27-7
Methyl trichloroacetate,598-99-2,,177.41,C3H3Cl3O2,COC(=O)C(Cl)(Cl)Cl,COC(=O)C(Cl)(Cl)Cl,598-99-2
Methyl tiglate,6622-76-0,,114.144,C6H10O2,COC(=O)C(\C)=C\C,C/C=C(\C)C(=O)OC,6622-76-0
METHYL THIOSALICYLATE,4892-02-8,,168.21,C8H8O2S,COC(=O)c1ccccc1S,COC(=O)c1ccccc1S,4892-02-8
methyl thiophene-3-carboxylate,22913-26-4,,142.17,C6H6O2S,COC(=O)c1ccsc1,COC(=O)c1ccsc1,22913-26-4
"Methyl thioglycolate, 95%",2365-48-2,,106.14,C3H6O2S,COC(=O)CS,,
Methyl tetrahydropyran-4-carboxylate,110238-91-0,,144.17,C7H12O3,COC(=O)C1CCOCC1,COC(=O)C1CCOCC1,110238-91-0
Methyl tetrahydrofuran-3-carboxylate,53662-85-4,,130.143,C6H10O3,COC(=O)C1CCOC1,COC(=O)C1CCOC1,53662-85-4
"Methyl sulfoxide, 99.7%, pure",67-68-5,,78.13,C2H6OS,CS(C)=O,,
"Methyl sulfone, 98%",67-71-0,,94.13,C2H6O2S,CS(C)(=O)=O,,
Methyl succinamate,53171-39-4,,131.131,C5H9NO3,COC(=O)CCC(N)=O,COC(=O)CCC(N)=O,53171-39-4
"Methyl pyruvate, 94%",600-22-6,,102.089,C4H6O3,COC(=O)C(C)=O,,
Methyl pyrrolidine-2-carboxylate hydrochloride,65365-28-8,,165.62,C6H12ClNO2,Cl.COC(=O)[C@H]1CCCN1 |r|,COC(=O)C1CCCN1.Cl,79397-50-5
Methyl propiolate,922-67-8,,84.074,C4H4O2,COC(=O)C#C,C#CC(=O)OC,7515-15-3
Methyl pivaloylacetate,55107-14-7,,158.197,C8H14O3,COC(=O)CC(=O)C(C)(C)C,COC(=O)CC(=O)C(C)(C)C,55107-14-7
Methyl Piperidine-2-carboxylate hydrochloride,32559-18-5,,179.64,C7H14ClNO2,Cl.COC(=O)C1CCCCN1,COC(=O)C1CCCCN1.Cl,32559-18-5
Methyl picolinate,2459-07-6,,137.138,C7H7NO2,COC(=O)c1ccccn1,COC(=O)c1ccccn1,2459-07-6
Methyl phenylsulfonylacetate,34097-60-4,,214.24,C9H10O4S,COC(=O)CS(=O)(=O)c1ccccc1,COC(=O)CS(=O)(=O)c1ccccc1,34097-60-4
METHYL PHENYLPROPIOLATE,4891-38-7,,160.172,C10H8O2,COC(=O)C#Cc1ccccc1,COC(=O)C#Cc1ccccc1,4891-38-7
Methyl phenylacetate,101-41-7,,150.177,C9H10O2,COC(=O)Cc1ccccc1,COC(=O)Cc1ccccc1,101-41-7
Methyl p-toluenesulfonate,80-48-8,,186.23,C8H10O3S,COS(=O)(=O)c1ccc(C)cc1,COS(=O)(=O)c1ccc(C)cc1,80-48-8
methyl oxirane-2-carboxylate,4538-50-5,,102.089,C4H6O3,COC(=O)C1CO1,COC(=O)C1CO1,4538-50-5
METHYL OXALYL CHLORIDE,5781-53-3,,122.5,C3H3ClO3,COC(=O)C(Cl)=O,,5781-53-3
"Methyl nicotinate, 99%",93-60-7,,137.138,C7H7NO2,COC(=O)c1cccnc1,,
methyl N-methylcarbamate,6642-30-4,,89.094,C3H7NO2,CNC(=O)OC,CNC(=O)OC,6642-30-4
Methyl malonyl chloride,37517-81-0,,136.53,C4H5ClO3,COC(=O)CC(Cl)=O,CC(C(=O)Cl)C(=O)Cl,39619-07-3
METHYL LINOLEATE,112-63-0,,294.479,C19H34O2,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,112-63-0
Methyl L-tryptophanate hydrochloride,7524-52-9,,254.71,C12H15ClN2O2,Cl.COC(=O)[C@@H](N)Cc1c[nH]c2ccccc12 |r|,COC(=O)[C@@H](N)Cc1c[nH]c2ccccc12.Cl,7524-52-9
Methyl isovalerate,556-24-1,,116.16,C6H12O2,COC(=O)CC(C)C,COC(=O)CC(C)C,556-24-1
"Methyl isonicotinate, 98%",2459-09-8,,137.138,C7H7NO2,COC(=O)c1ccncc1,,
Methyl isobutyrylacetate,42558-54-3,,144.17,C7H12O3,COC(=O)CC(=O)C(C)C,COC(=O)CC(=O)C(C)C,42558-54-3
Methyl isobutyrate,547-63-7,,102.133,C5H10O2,COC(=O)C(C)C,COC(=O)C(C)C,547-63-7
methyl indole-5-carboxylate,1011-65-0,,175.187,C10H9NO2,COC(=O)c1ccc2[nH]ccc2c1,COC(=O)c1ccc2[nH]ccc2c1,1011-65-0
Methyl indole-3-carboxylate,942-24-5,,175.187,C10H9NO2,COC(=O)c1c[nH]c2ccccc12,COC(=O)c1c[nH]c2ccccc12,942-24-5
"Methyl indole-2-carboxylate, 97%",1202-04-6,,175.187,C10H9NO2,COC(=O)c1cc2ccccc2[nH]1,,
METHYL HYDROXYPIVALATE,14002-80-3,,132.159,C6H12O3,COC(=O)C(C)(C)CO,COC(=O)C(C)(C)CO,14002-80-3
methyl green,06-03-7114,,0,,,,54327-10-5
Methyl glycolate,96-35-5,,90.078,C3H6O3,COC(=O)CO,COC(=O)CO,96-35-5
Methyl DL-2-aminopropanoate hydrochloride,13515-97-4,,139.58,C4H10ClNO2,Cl.COC(=O)C(C)N,COC(=O)C(C)N.Cl,13515-97-4
Methyl D-alaninate hydrochloride,14316-06-4,,139.58,C4H10ClNO2,Cl.CN(C)CC(O)=O,COC(=O)[C@@H](C)N.Cl,14316-06-4
Methyl cyclopropane carboxylate,2868-37-3,,100.117,C5H8O2,COC(=O)C1CC1,COC(=O)C1CC1,2868-37-3
Methyl cyclopent-1-ene-1-carboxylate,25662-28-6,,126.155,C7H10O2,COC(=O)C1=CCCC1 |t:4|,COC(=O)C1=CCCC1,25662-28-6
Methyl cyclohexanecarboxylate,4630-82-4,,142.198,C8H14O2,COC(=O)C1CCCCC1,COC(=O)C1CCCCC1,4630-82-4
METHYL CYANOFORMATE,17640-15-2,,85.062,C3H3NO2,COC(=O)C#N,COC(=O)C#N,17640-15-2
methyl cinnamate,103-26-1,,0,,,COC(=O)C=Cc1ccccc1,
Methyl cinnamate,103-26-4,,162.188,C10H10O2,COC(=O)\C=C\c1ccccc1,COC(=O)C=Cc1ccccc1,
Methyl chloroformate,79-22-1,,94.49,C2H3ClO2,COC(Cl)=O,COC(=O)Cl,79-22-1
METHYL CHLORODIFLUOROACETATE,1514-87-0,,144.5,C3H3ClF2O2,COC(=O)C(F)(F)Cl,COC(=O)C(F)(F)Cl,1514-87-0
"Methyl chloroacetate, 98%",96-34-4,,108.52,C3H5ClO2,COC(=O)CCl,,
Methyl carbazate,6294-89-9,,90.082,C2H6N2O2,COC(=O)NN,COC(=O)NN,6294-89-9
Methyl butyrate,623-42-7,,102.133,C5H10O2,CCCC(=O)OC,CCCC(=O)OC,623-42-7
Methyl Bromopyruvate,7425-63-0,,180.985,C4H5BrO3,COC(=O)C(=O)CBr,COC(=O)C(=O)CBr,7425-63-0
Methyl bromoacetate,96-32-2,,152.975,C3H5BrO2,COC(=O)CBr,COC(=O)CBr,96-32-2
"Methyl benzoylformate, 99%",15206-55-0,,164.16,C9H8O3,COC(=O)C(=O)c1ccccc1,,
"Methyl benzoate, 99%",93-58-3,,136.15,C8H8O2,COC(=O)c1ccccc1,,
methyl azetidine-3-carboxylate hydrochloride,100202-39-9,,151.59,C5H10ClNO2,Cl.COC(=O)C1CNC1,COC(=O)C1CNC1.Cl,100202-39-9
Methyl anthranilate,134-20-3,,151.165,C8H9NO2,COC(=O)c1ccccc1N,COC(=O)c1ccccc1N,134-20-3
Methyl anisate,121-98-2,,166.176,C9H10O3,COC(=O)c1ccc(OC)cc1,COC(=O)c1ccc(OC)cc1,121-98-2
Methyl acrylate,96-33-3,,86.09,C4H6O2,COC(=O)C=C,C=CC(=O)OC,96-33-3
"Methyl acetoacetate, 99+%",105-45-3,,116.116,C5H8O3,COC(=O)CC(C)=O,,
Methyl acetate,79-20-9,,74.079,C3H6O2,COC(C)=O,COC(C)=O,79-20-9
Methyl 6-bromohexanoate,14273-90-6,,209.083,C7H13BrO2,COC(=O)CCCCCBr,COC(=O)CCCCCBr,14273-90-6
METHYL 5-METHOXYSALICYLATE,2905-82-0,,182.175,C9H10O4,COC(=O)c1cc(OC)ccc1O,COC(=O)c1cc(OC)ccc1O,2905-82-0
Methyl 5-formylthiophene-2-carboxylate,67808-64-4,,170.18,C7H6O3S,COC(=O)c1ccc(C=O)s1,COC(=O)c1ccc(C=O)s1,67808-64-4
Methyl 5-chloropentanoate,14273-86-0,,150.6,C6H11ClO2,COC(=O)CCCCCl,COC(=O)CCCCCl,14273-86-0
"Methyl 5-bromovalerate, 97%",5454-83-1,,195.056,C6H11BrO2,COC(=O)CCCCBr,,
Methyl 5-bromo-2-iodobenzoate,181765-86-6,,340.942,C8H6BrIO2,COC(=O)c1cc(Br)ccc1I,COC(=O)c1cc(Br)ccc1I,181765-86-6
"Methyl 5-(3-chlorophenyl)-1,3-oxazole-4-carboxylate",89204-92-2,,232.6,C11H3ClNO3,COC(=O)c1n[c-]oc1-c1[c-][c-][c-]c(Cl)[c-]1,COC(=O)c1ncoc1-c1cccc(Cl)c1,89204-92-2
"Methyl 5,5-dimethyl-2-oxocyclohexanecarboxylate",50388-51-7,,184.235,C10H16O3,COC(=O)C1CC(C)(C)CCC1=O,COC(=O)C1CC(C)(C)CCC1=O,50388-51-7
"Methyl 4-vinylbenzoate, 97%",1076-96-6,,162.188,C10H10O2,COC(=O)c1ccc(C=C)cc1,,
Methyl 4-trifluoromethylbenzoate,2967-66-0,,204.148,C9H7F3O2,COC(=O)c1ccc(cc1)C(F)(F)F,COC(=O)c1ccc(C(F)(F)F)cc1,2967-66-0
Methyl 4-tert-butylbenzoate,26537-19-9,,192.258,C12H16O2,COC(=O)c1ccc(cc1)C(C)(C)C,COC(=O)c1ccc(C(C)(C)C)cc1,26537-19-9
Methyl 4-piperidinecarboxylate,7462-86-4,,143.186,C7H13NO2,COC(=O)C1CCNCC1,COC(=O)C1CCNCC1,2971-79-1
METHYL 4-NITROBENZOATE,619-50-1,,181.148,C8H7NO4,COC(=O)c1ccc(cc1)[N]([O-])=O |^1:10|,COC(=O)c1ccc([N+](=O)[O-])cc1,619-50-1
Methyl 4-methylsalicylate,4670-56-8,,166.176,C9H10O3,COC(=O)c1ccc(C)cc1O,COC(=O)c1ccc(C)cc1O,4670-56-8
Methyl 4-methylbenzoate,99-75-2,,150.177,C9H10O2,COC(=O)c1ccc(C)cc1,COC(=O)c1ccc(C)cc1,99-75-2
METHYL 4-METHOXYPHENYLACETATE,23786-14-3,,180.203,C10H12O3,COC(=O)Cc1ccc(OC)cc1,COC(=O)Cc1ccc(OC)cc1,23786-14-3
Methyl 4-Methoxyacetoacetate,41051-15-4,,146.142,C6H10O4,COCC(=O)CC(=O)OC,COCC(=O)CC(=O)OC,41051-15-4
"Methyl 4-iodobutyrate, 95%, stabilized",14273-85-9,,228.029,C5H9IO2,COC(=O)CCCI,,
Methyl 4-iodobenzoate,619-44-3,,262.046,C8H7IO2,COC(=O)c1ccc(I)cc1,COC(=O)c1ccc(I)cc1,619-44-3
Methyl 4-Hydroxybicyclo[2.2.2]octane-1-carboxylate,23062-53-5,,184.235,C10H16O3,COC(=O)C12CCC(O)(CC1)CC2,COC(=O)C12CCC(O)(CC1)CC2,23062-53-5
methyl 4-hydroxybicyclo[2.2.1]heptane-1-carboxylate,88888-31-7,,170.208,C9H14O3,COC(=O)C12CCC(O)(CC1)C2,COC(=O)C12CCC(O)(CC1)C2,88888-31-7
Methyl 4-hydroxy-3-methoxyphenylpropanoate,56024-44-3,,210.229,C11H14O4,COC(=O)CCc1ccc(O)c(OC)c1,COC(=O)C(C)c1ccc(O)c(OC)c1,
Methyl 4-formylbenzoate,1571-08-0,,164.16,C9H8O3,COC(=O)c1ccc(C=O)cc1,COC(=O)c1ccc(C=O)cc1,1571-08-0
Methyl 4-fluorobenzoate,403-33-8,,154.14,C8H7FO2,COC(=O)c1ccc(F)cc1,COC(=O)c1ccc(F)cc1,403-33-8
METHYL 4-ETHYNYLBENZOATE,3034-86-4,,160.172,C10H8O2,COC(=O)c1ccc(cc1)C#C,C#Cc1ccc(C(=O)OC)cc1,3034-86-4
Methyl 4-cyanobenzoate,1129-35-7,,161.16,C9H7NO2,COC(=O)c1ccc(cc1)C#N,COC(=O)c1ccc(C#N)cc1,1129-35-7
"Methyl 4-chlorobutyrate, 98+%",3153-37-5,,136.58,C5H9ClO2,COC(=O)CCCCl,,
METHYL 4-CHLOROBENZOATE,1126-46-1,,170.59,C8H7ClO2,COC(=O)c1ccc(Cl)cc1,COC(=O)c1ccc(Cl)cc1,1126-46-1
Methyl 4-bromobutyrate,4897-84-1,,181.029,C5H9BrO2,COC(=O)CCCBr,COC(=O)CCCBr,4897-84-1
Methyl 4-bromobenzoate,619-42-1,,215.046,C8H7BrO2,COC(=O)c1ccc(Br)cc1,COC(=O)c1ccc(Br)cc1,619-42-1
Methyl 4-boronobenzoate,99768-12-4,,179.97,C8H9BO4,COC(=O)c1ccc(cc1)B(O)O,COC(=O)c1ccc(B(O)O)cc1,99768-12-4
Methyl 4-aminopyridine-3-carboxylate,16135-36-7,,152.153,C7H8N2O2,COC(=O)c1cnccc1N,COC(=O)c1cnccc1N,16135-36-7
Methyl 4-amino-3-iodobenzoate,19718-49-1,,277.061,C8H8INO2,COC(=O)c1ccc(N)c(I)c1,COC(=O)c1ccc(N)c(I)c1,19718-49-1
METHYL 4-ACETYLBENZOATE,3609-53-8,,178.187,C10H10O3,COC(=O)c1ccc(cc1)C(C)=O,COC(=O)c1ccc(C(C)=O)cc1,3609-53-8
Methyl 4-(bromomethyl)benzoate,2417-72-3,,229.073,C9H9BrO2,COC(=O)c1ccc(CBr)cc1,COC(=O)c1ccc(CBr)cc1,2417-72-3
"Methyl 4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)benzoate",171364-80-0,,262.11,C14H19BO4,COC(=O)c1ccc(cc1)B1OC(C)(C)C(C)(C)O1,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,171364-80-0
Methyl 3-Oxocyclopentanecarboxylate,32811-75-9,,142.154,C7H10O3,COC(=O)C1CCC(=O)C1,COC(=O)C1CCC(=O)C1,32811-75-9
Methyl 3-methyl-2-butenoate,924-50-5,,114.144,C6H10O2,[#6]-[#8]-[#6](=O)\[#6]=[#6](\[#6])-[#6],COC(=O)C=C(C)C,924-50-5
Methyl 3-methoxypropionate,3852-09-3,,118.132,C5H10O3,COCCC(=O)OC,COCCC(=O)OC,3852-09-3
Methyl 3-methoxyacrylate,34846-90-7,,116.116,C5H8O3,CO\C=C\C(=O)OC,COC=CC(=O)OC,
"Methyl 3-mercaptopropionate, 98%",2935-90-2,,120.17,C4H8O2S,COC(=O)CCS,,
methyl 3-hydroxypropanoate,6149-41-3,,104.105,C4H8O3,COC(=O)CCO,COC(=O)CCO,6149-41-3
Methyl 3-hydroxybenzoate,19438-10-9,,152.149,C8H8O3,COC(=O)c1cccc(O)c1,COC(=O)c1cccc(O)c1,19438-10-9
METHYL 3-HYDROXY-2-NAPHTHOATE,883-99-8,,202.209,C12H10O3,COC(=O)c1cc2ccccc2cc1O,COC(=O)c1cc2ccccc2cc1O,883-99-8
Methyl 3-formyl-1H-indole-4-carboxylate,53462-88-7,,203.197,C11H9NO3,COC(=O)c1cccc2[nH]cc(C=O)c12,COC(=O)c1cccc2[nH]cc(C=O)c12,53462-88-7
Methyl 3-cyclopropyl-3-oxopropionate,32249-35-7,,142.154,C7H10O3,COC(=O)CC(=O)C1CC1,COC(=O)CC(=O)C1CC1,32249-35-7
Methyl 3-chlorosulfonylthiophene-2-carboxylate,59337-92-7,,240.67,C6H5ClO4S2,COC(=O)c1sccc1S(Cl)(=O)=O,COC(=O)c1sccc1S(=O)(=O)Cl,59337-92-7
Methyl 3-bromopicolinate,53636-56-9,,216.034,C7H6BrNO2,COC(=O)c1ncccc1Br,COC(=O)c1ncccc1Br,53636-56-9
Methyl 3-bromobenzoate,618-89-3,,215.046,C8H7BrO2,COC(=O)c1cccc(Br)c1,COC(=O)c1cccc(Br)c1,618-89-3
METHYL 3-BENZOYLPROPIONATE,25333-24-8,,192.214,C11H12O3,COC(=O)CCC(=O)c1ccccc1,COC(=O)CCC(=O)c1ccccc1,25333-24-8
Methyl 3-Aminopyridine-2-carboxylate,36052-27-4,,152.153,C7H8N2O2,COC(=O)c1ncccc1N,COC(=O)c1ncccc1N,36052-27-4
Methyl 3-aminopropionate hydrochloride,3196-73-4,,139.58,C4H10ClNO2,Cl.COC(=O)CCN,COC(=O)CCN.Cl,3196-73-4
Methyl 3-amino-2-thiophenecarboxylate,22288-78-4,,157.19,C6H7NO2S,COC(=O)c1sccc1N,COC(=O)c1sccc1N,22288-78-4
Methyl 3-acetyl-4-hydroxybenzoate,57009-12-8,,194.186,C10H10O4,COC(=O)c1ccc(O)c(c1)C(C)=O,COC(=O)c1ccc(O)c(C(C)=O)c1,57009-12-8
METHYL 3-(TRIFLUOROMETHYL)BENZOYLACETATE,93618-66-7,,246.185,C11H9F3O3,COC(=O)CC(=O)c1cccc(c1)C(F)(F)F,COC(=O)CC(=O)c1cccc(C(F)(F)F)c1,93618-66-7
methyl 3-(chlorosulfonyl)-4-methoxybenzoate,192323-12-9,,264.68,C9H9ClO5S,COC(=O)c1ccc(OC)c(c1)S(Cl)(=O)=O,COC(=O)c1ccc(OC)c(S(=O)(=O)Cl)c1,192323-12-9
Methyl 3-(4-methoxyphenyl)-3-oxopropionate,22027-50-5,,208.213,C11H12O4,COC(=O)CC(=O)c1ccc(OC)cc1,COC(=O)CC(=O)c1ccc(OC)cc1,22027-50-5
Methyl 3-(4-hydroxyphenyl)propionate,5597-50-2,,180.203,C10H12O3,COC(=O)CCc1ccc(O)cc1,COC(=O)CCc1ccc(O)cc1,5597-50-2
Methyl 3-(4-hydroxyphenyl)-3-oxopropanoate,32066-29-8,,194.186,C10H10O4,COC(=O)CC(=O)c1ccc(O)cc1,COC(=O)CC(=O)c1ccc(O)cc1,32066-29-8
METHYL 3-(4-CHLOROPHENYL)-3-OXOPROPANOATE,22027-53-8,,212.63,C10H9ClO3,COC(=O)CC(=O)c1ccc(Cl)cc1,COC(=O)CC(=O)c1ccc(Cl)cc1,22027-53-8
"methyl 3-(4-bromophenyl)-1,2-oxazole-5-carboxylate",377053-86-6,,282.093,C11H8BrNO3,COC(=O)c1cc(no1)-c1ccc(Br)cc1,COC(=O)c1cc(-c2ccc(Br)cc2)no1,377053-86-6
methyl 3-(3-bromophenyl)isoxazole-4-carboxylate,267651-85-4,,282.093,C11H8BrNO3,COC(=O)c1conc1-c1cccc(Br)c1,COC(=O)c1conc1-c1cccc(Br)c1,267651-85-4
"Methyl 3,5-dimethoxybenzoate",2150-37-0,,196.202,C10H12O4,COC(=O)c1cc(OC)cc(OC)c1,COC(=O)c1cc(OC)cc(OC)c1,2150-37-0
"Methyl 3,5-dihydroxybenzoate",2150-44-9,,168.148,C8H8O4,COC(=O)c1cc(O)cc(O)c1,COC(=O)c1cc(O)cc(O)c1,2150-44-9
"Methyl 3,3-dimethylpent-4-enoate",63721-05-1,,142.198,C8H14O2,COC(=O)CC(C)(C)C=C,C=CC(C)(C)CC(=O)OC,63721-05-1
"Methyl 2-pyridylacetate, 98%",1658-42-0,,151.165,C8H9NO2,COC(=O)Cc1ccccn1,,
methyl 2-phenylquinoline-4-carboxylate,4546-48-9,,263.296,C17H13NO2,COC(=O)c1cc(nc2ccccc12)-c1ccccc1,COC(=O)c1cc(-c2ccccc2)nc2ccccc12,4546-48-9
methyl 2-oxocyclohexane-1-carboxylate,41302-34-5,,156.181,C8H12O3,COC(=O)C1CCCCC1=O,COC(=O)C1CCCCC1=O,41302-34-5
